PCAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration 15, inertia 4843.497
Converged at iteration 15
Initialization complete
Iteration  0, inertia 8399.386
Iteration  1, inertia 5093.389
Iteration  2, inertia 4898.967
Iteration  3, inertia 4828.431
Iteration  4, inertia 4785.583
Iteration  5, inertia 4773.395
Iteration  6, inertia 4768.464
Iteration  7, inertia 4766.889
Iteration  8, inertia 4766.303
Iteration  9, inertia 4765.924
Iteration 10, inertia 4765.624
Iteration 11, inertia 4765.559
Converged at iteration 11
Initialization complete
Iteration  0, inertia 8254.780
Iteration  1, inertia 5253.345
Iteration  2, inertia 4930.352
Iteration  3, inertia 4776.205
Iteration  4, inertia 4721.592
Iteration  5, inertia 4701.277
Iteration  6, inertia 4696.739
Iteration  7, inertia 4694.791
Iteration  8, inertia 4691.060
Iteration  9, inertia 4684.872
Iteration 10, inertia 4677.484
Iteration 11, inertia 4675.639
Iteration 12, inertia 4674.886
Iteration 13, inertia 4674.359
Iteration 14, inertia 4674.228
Converged at iteration 14
Initialization complete
Iteration  0, inertia 7989.832
Iteration  1, inertia 5221.958
Iteration  2, inertia 5052.216
Iteration  3, inertia 4987.610
Iteration  4, inertia 4930.718
Iteration  5, inertia 4890.771
Iteration  6, inertia 4870.572
Iteration  7, inertia 4863.132
Iteration  8, inertia 4856.918
Iteration  9, inertia 4853.022
Iteration 10, inertia 4850.021
Iteration 11, inertia 4849.145
Iteration 12, inertia 4848.819
Iteration 13, inertia 4848.445
Iteration 14, inertia 4848.006
Iteration 15, inertia 4847.424
Iteration 16, inertia 4847.326
Iteration 17, inertia 4847.279
Converged at iteration 17
Initialization complete
Iteration  0, inertia 7927.838
Iteration  1, inertia 5160.656
Iteration  2, inertia 4931.005
Iteration  3, inertia 4872.263
Iteration  4, inertia 4848.383
Iteration  5, inertia 4832.418
Iteration  6, inertia 4824.615
Iteration  7, inertia 4817.231
Iteration  8, inertia 4812.232
Iteration  9, inertia 4809.984
Iteration 10, inertia 4808.383
Iteration 11, inertia 4807.919
Iteration 12, inertia 4807.553
Iteration 13, inertia 4807.392
Iteration 14, inertia 4807.332
Iteration 15, inertia 4807.301
Iteration 16, inertia 4807.230
Converged at iteration 16
Initialization complete
Iteration  0, inertia 7929.681
Iteration  1, inertia 5142.261
Iteration  2, inertia 4949.092
Iteration  3, inertia 4843.451
Iteration  4, inertia 4796.751
Iteration  5, inertia 4789.756
Iteration  6, inertia 4786.909
Iteration  7, inertia 4785.300
Iteration  8, inertia 4784.521
Iteration  9, inertia 4784.330
Converged at iteration 9
Initialization complete
Iteration  0, inertia 7668.809
Iteration  1, inertia 5024.826
Iteration  2, inertia 4867.447
Iteration  3, inertia 4764.052
Iteration  4, inertia 4717.220
Iteration  5, inertia 4698.155
Iteration  6, inertia 4690.475
Iteration  7, inertia 4686.214
Iteration  8, inertia 4682.091
Iteration  9, inertia 4678.319
Iteration 10, inertia 4676.145
Iteration 11, inertia 4674.746
Iteration 12, inertia 4673.032
Iteration 13, inertia 4671.939
Iteration 14, inertia 4670.537
Iteration 15, inertia 4668.737
Iteration 16, inertia 4667.324
Iteration 17, inertia 4666.291
Iteration 18, inertia 4666.030
Iteration 19, inertia 4665.886
Iteration 20, inertia 4665.814
Iteration 21, inertia 4665.745
Iteration 22, inertia 4665.607
Iteration 23, inertia 4665.328
Iteration 24, inertia 4665.281
Converged at iteration 24
Initialization complete
Iteration  0, inertia 7844.505
Iteration  1, inertia 4942.177
Iteration  2, inertia 4722.634
Iteration  3, inertia 4677.320
Iteration  4, inertia 4667.215
Iteration  5, inertia 4665.728
Iteration  6, inertia 4665.397
Iteration  7, inertia 4665.147
Iteration  8, inertia 4664.985
Iteration  9, inertia 4664.828
