NMFReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration 26, inertia 4647.870
Converged at iteration 26
Initialization complete
Iteration  0, inertia 7717.050
Iteration  1, inertia 4980.311
Iteration  2, inertia 4877.438
Iteration  3, inertia 4830.145
Iteration  4, inertia 4803.896
Iteration  5, inertia 4789.244
Iteration  6, inertia 4779.459
Iteration  7, inertia 4759.575
Iteration  8, inertia 4743.570
Iteration  9, inertia 4733.295
Iteration 10, inertia 4719.671
Iteration 11, inertia 4710.457
Iteration 12, inertia 4704.903
Iteration 13, inertia 4704.129
Iteration 14, inertia 4703.991
Iteration 15, inertia 4703.908
Iteration 16, inertia 4703.847
Converged at iteration 16
Initialization complete
Iteration  0, inertia 7714.138
Iteration  1, inertia 4842.162
Iteration  2, inertia 4720.910
Iteration  3, inertia 4681.246
Iteration  4, inertia 4660.812
Iteration  5, inertia 4652.655
Iteration  6, inertia 4650.954
Iteration  7, inertia 4650.557
Iteration  8, inertia 4650.456
Iteration  9, inertia 4650.363
Converged at iteration 9
Initialization complete
Iteration  0, inertia 7719.025
Iteration  1, inertia 4938.200
Iteration  2, inertia 4871.059
Iteration  3, inertia 4859.572
Iteration  4, inertia 4856.590
Iteration  5, inertia 4852.148
Iteration  6, inertia 4846.548
Iteration  7, inertia 4840.458
Iteration  8, inertia 4837.192
Iteration  9, inertia 4834.613
Iteration 10, inertia 4832.959
Iteration 11, inertia 4831.293
Iteration 12, inertia 4824.661
Iteration 13, inertia 4811.140
Iteration 14, inertia 4788.557
Iteration 15, inertia 4765.821
Iteration 16, inertia 4754.828
Iteration 17, inertia 4750.074
Iteration 18, inertia 4749.264
Iteration 19, inertia 4749.112
Iteration 20, inertia 4748.559
Iteration 21, inertia 4747.181
Iteration 22, inertia 4747.030
Converged at iteration 22
Initialization complete
Iteration  0, inertia 7754.363
Iteration  1, inertia 5000.765
Iteration  2, inertia 4884.371
Iteration  3, inertia 4815.772
Iteration  4, inertia 4769.909
Iteration  5, inertia 4756.977
Iteration  6, inertia 4745.509
Iteration  7, inertia 4713.408
Iteration  8, inertia 4676.985
Iteration  9, inertia 4661.238
Iteration 10, inertia 4653.444
Iteration 11, inertia 4650.133
Iteration 12, inertia 4649.176
Iteration 13, inertia 4648.311
Iteration 14, inertia 4647.688
Iteration 15, inertia 4647.244
Iteration 16, inertia 4647.201
Converged at iteration 16
Initialization complete
Iteration  0, inertia 8177.081
Iteration  1, inertia 5089.764
Iteration  2, inertia 4930.358
Iteration  3, inertia 4898.534
Iteration  4, inertia 4874.592
Iteration  5, inertia 4834.023
Iteration  6, inertia 4790.103
Iteration  7, inertia 4769.618
Iteration  8, inertia 4763.790
Iteration  9, inertia 4758.759
Iteration 10, inertia 4757.093
Iteration 11, inertia 4756.783
Iteration 12, inertia 4756.703
Iteration 13, inertia 4756.593
Converged at iteration 13
Initialization complete
Iteration  0, inertia 7891.061
Iteration  1, inertia 4993.750
Iteration  2, inertia 4773.932
Iteration  3, inertia 4711.245
Iteration  4, inertia 4691.834
Iteration  5, inertia 4681.221
Iteration  6, inertia 4673.185
Iteration  7, inertia 4670.223
Iteration  8, inertia 4668.561
Iteration  9, inertia 4667.590
Iteration 10, inertia 4667.169
Iteration 11, inertia 4666.841
