ICAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration  9, inertia 4730.389
Iteration 10, inertia 4710.278
Iteration 11, inertia 4693.982
Iteration 12, inertia 4682.329
Iteration 13, inertia 4673.538
Iteration 14, inertia 4669.069
Iteration 15, inertia 4665.270
Iteration 16, inertia 4664.216
Iteration 17, inertia 4662.746
Iteration 18, inertia 4661.048
Iteration 19, inertia 4660.570
Iteration 20, inertia 4659.752
Iteration 21, inertia 4659.229
Iteration 22, inertia 4658.906
Iteration 23, inertia 4658.680
Iteration 24, inertia 4658.578
Iteration 25, inertia 4658.474
Iteration 26, inertia 4658.352
Iteration 27, inertia 4658.211
Iteration 28, inertia 4657.948
Iteration 29, inertia 4657.669
Converged at iteration 29
Initialization complete
Iteration  0, inertia 8111.807
Iteration  1, inertia 5071.292
Iteration  2, inertia 4830.615
Iteration  3, inertia 4714.625
Iteration  4, inertia 4660.517
Iteration  5, inertia 4653.299
Iteration  6, inertia 4650.638
Iteration  7, inertia 4649.968
Iteration  8, inertia 4649.190
Iteration  9, inertia 4648.564
Iteration 10, inertia 4648.318
Iteration 11, inertia 4648.066
Converged at iteration 11
Initialization complete
Iteration  0, inertia 8203.718
Iteration  1, inertia 5045.461
Iteration  2, inertia 4907.678
Iteration  3, inertia 4824.669
Iteration  4, inertia 4794.372
Iteration  5, inertia 4776.665
Iteration  6, inertia 4748.002
Iteration  7, inertia 4707.114
Iteration  8, inertia 4671.890
Iteration  9, inertia 4655.767
Iteration 10, inertia 4651.282
Iteration 11, inertia 4649.799
Iteration 12, inertia 4649.186
Iteration 13, inertia 4648.732
Iteration 14, inertia 4648.398
Converged at iteration 14
Initialization complete
Iteration  0, inertia 7925.520
Iteration  1, inertia 4849.880
Iteration  2, inertia 4765.000
Iteration  3, inertia 4747.645
Iteration  4, inertia 4741.034
Iteration  5, inertia 4737.447
Iteration  6, inertia 4735.066
Iteration  7, inertia 4734.680
Iteration  8, inertia 4734.386
Iteration  9, inertia 4734.299
Iteration 10, inertia 4734.133
Iteration 11, inertia 4734.079
Iteration 12, inertia 4734.036
Converged at iteration 12
Initialization complete
Iteration  0, inertia 7959.936
Iteration  1, inertia 5061.357
Iteration  2, inertia 4904.841
Iteration  3, inertia 4860.485
Iteration  4, inertia 4822.935
Iteration  5, inertia 4775.834
Iteration  6, inertia 4746.696
Iteration  7, inertia 4734.014
Iteration  8, inertia 4724.251
Iteration  9, inertia 4713.554
Iteration 10, inertia 4700.186
Iteration 11, inertia 4681.884
Iteration 12, inertia 4667.503
Iteration 13, inertia 4658.010
Iteration 14, inertia 4653.967
Iteration 15, inertia 4651.159
Iteration 16, inertia 4649.736
Iteration 17, inertia 4649.664
Iteration 18, inertia 4649.625
Converged at iteration 18
Initialization complete
Iteration  0, inertia 8170.914
Iteration  1, inertia 5199.985
Iteration  2, inertia 4874.841
Iteration  3, inertia 4798.497
Iteration  4, inertia 4775.720
Iteration  5, inertia 4763.899
Iteration  6, inertia 4754.771
Iteration  7, inertia 4749.647
Iteration  8, inertia 4746.156
Iteration  9, inertia 4744.215
Iteration 10, inertia 4743.146
Iteration 11, inertia 4742.226
Iteration 12, inertia 4741.655
Iteration 13, inertia 4740.898
Iteration 14, inertia 4739.659
Iteration 15, inertia 4738.434
Iteration 16, inertia 4737.497
Iteration 17, inertia 4736.047
Iteration 18, inertia 4734.867
Iteration 19, inertia 4732.481
Iteration 20, inertia 4729.778
Iteration 21, inertia 4727.615
Iteration 22, inertia 4726.284
Iteration 23, inertia 4723.894
Iteration 24, inertia 4717.423
Iteration 25, inertia 4705.407
Iteration 26, inertia 4691.990
Iteration 27, inertia 4674.751
Iteration 28, inertia 4663.103
Iteration 29, inertia 4656.043
Iteration 30, inertia 4652.889
Iteration 31, inertia 4651.060
Iteration 32, inertia 4649.668
Iteration 33, inertia 4649.596
Iteration 34, inertia 4649.557
Converged at iteration 34
Initialization complete
Iteration  0, inertia 7792.867
Iteration  1, inertia 4937.924
Iteration  2, inertia 4830.719
Iteration  3, inertia 4801.755
Iteration  4, inertia 4793.117
Iteration  5, inertia 4789.073
