RCAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration  8, inertia 4778.253
Iteration  9, inertia 4753.350
Iteration 10, inertia 4730.903
Iteration 11, inertia 4703.252
Iteration 12, inertia 4690.143
Iteration 13, inertia 4680.349
Iteration 14, inertia 4665.732
Iteration 15, inertia 4655.445
Iteration 16, inertia 4649.737
Iteration 17, inertia 4648.245
Iteration 18, inertia 4647.824
Iteration 19, inertia 4647.766
Iteration 20, inertia 4647.687
Converged at iteration 20
Initialization complete
Iteration  0, inertia 7890.838
Iteration  1, inertia 5245.118
Iteration  2, inertia 4981.818
Iteration  3, inertia 4852.787
Iteration  4, inertia 4817.139
Iteration  5, inertia 4797.328
Iteration  6, inertia 4783.519
Iteration  7, inertia 4762.098
Iteration  8, inertia 4736.134
Iteration  9, inertia 4713.237
Iteration 10, inertia 4697.673
Iteration 11, inertia 4691.265
Iteration 12, inertia 4688.913
Iteration 13, inertia 4687.900
Iteration 14, inertia 4687.547
Iteration 15, inertia 4687.437
Converged at iteration 15
Initialization complete
Iteration  0, inertia 8104.649
Iteration  1, inertia 5218.690
Iteration  2, inertia 5061.696
Iteration  3, inertia 4994.374
Iteration  4, inertia 4955.652
Iteration  5, inertia 4924.734
Iteration  6, inertia 4874.484
Iteration  7, inertia 4844.219
Iteration  8, inertia 4828.291
Iteration  9, inertia 4813.655
Iteration 10, inertia 4804.855
Iteration 11, inertia 4796.050
Iteration 12, inertia 4778.171
Iteration 13, inertia 4766.953
Iteration 14, inertia 4762.986
Iteration 15, inertia 4761.504
Iteration 16, inertia 4758.048
Iteration 17, inertia 4749.903
Iteration 18, inertia 4741.430
Iteration 19, inertia 4737.802
Iteration 20, inertia 4736.748
Iteration 21, inertia 4736.532
Iteration 22, inertia 4736.315
Converged at iteration 22
Initialization complete
Iteration  0, inertia 7794.279
Iteration  1, inertia 4993.115
Iteration  2, inertia 4900.548
Iteration  3, inertia 4876.871
Iteration  4, inertia 4865.339
Iteration  5, inertia 4853.202
Iteration  6, inertia 4842.733
Iteration  7, inertia 4836.272
Iteration  8, inertia 4833.410
Iteration  9, inertia 4830.554
Iteration 10, inertia 4827.847
Iteration 11, inertia 4825.076
Iteration 12, inertia 4822.651
Iteration 13, inertia 4818.550
Iteration 14, inertia 4810.799
Iteration 15, inertia 4799.318
Iteration 16, inertia 4791.960
Iteration 17, inertia 4790.407
Iteration 18, inertia 4790.194
Iteration 19, inertia 4790.142
Converged at iteration 19
Initialization complete
Iteration  0, inertia 7805.124
Iteration  1, inertia 5085.971
Iteration  2, inertia 4850.666
Iteration  3, inertia 4802.500
Iteration  4, inertia 4785.695
Iteration  5, inertia 4780.001
Iteration  6, inertia 4774.746
Iteration  7, inertia 4770.518
Iteration  8, inertia 4767.159
Iteration  9, inertia 4762.021
Iteration 10, inertia 4754.183
Iteration 11, inertia 4743.999
Iteration 12, inertia 4723.429
Iteration 13, inertia 4687.350
Iteration 14, inertia 4666.171
Iteration 15, inertia 4658.863
Iteration 16, inertia 4655.517
Iteration 17, inertia 4652.849
Iteration 18, inertia 4651.193
Iteration 19, inertia 4650.818
Iteration 20, inertia 4650.656
Iteration 21, inertia 4650.614
Converged at iteration 21
Initialization complete
Iteration  0, inertia 8174.483
Iteration  1, inertia 5111.043
Iteration  2, inertia 4988.796
Iteration  3, inertia 4933.514
Iteration  4, inertia 4917.637
Iteration  5, inertia 4909.910
Iteration  6, inertia 4890.483
Iteration  7, inertia 4872.703
Iteration  8, inertia 4864.617
Iteration  9, inertia 4861.682
Iteration 10, inertia 4859.047
Iteration 11, inertia 4857.613
Iteration 12, inertia 4857.204
Iteration 13, inertia 4857.010
Converged at iteration 13
Initialization complete
Iteration  0, inertia 8391.284
Iteration  1, inertia 5029.063
Iteration  2, inertia 4838.610
Iteration  3, inertia 4795.272
Iteration  4, inertia 4767.079
Iteration  5, inertia 4743.266
Iteration  6, inertia 4719.350
Iteration  7, inertia 4701.535
Iteration  8, inertia 4690.771
Iteration  9, inertia 4687.424
Iteration 10, inertia 4686.056
Iteration 11, inertia 4685.350
Iteration 12, inertia 4685.157
Iteration 13, inertia 4685.120
Converged at iteration 13
Initialization complete
Iteration  0, inertia 8297.482
Iteration  1, inertia 5285.062
Iteration  2, inertia 5088.239
Iteration  3, inertia 4991.433
Iteration  4, inertia 4956.934
Iteration  5, inertia 4941.144
Iteration  6, inertia 4927.784
Iteration  7, inertia 4920.265
Iteration  8, inertia 4915.711
Iteration  9, inertia 4914.108
Iteration 10, inertia 4912.572
Iteration 11, inertia 4911.940
Iteration 12, inertia 4911.537
Iteration 13, inertia 4911.120
Iteration 14, inertia 4910.936
Iteration 15, inertia 4910.854
Iteration 16, inertia 4910.760
Iteration 17, inertia 4910.595
Iteration 18, inertia 4910.360
Iteration 19, inertia 4910.224
Iteration 20, inertia 4910.116
Iteration 21, inertia 4910.028
Converged at iteration 21
Initialization complete
Iteration  0, inertia 7899.000
Iteration  1, inertia 5132.607
Iteration  2, inertia 5025.694
Iteration  3, inertia 4938.707
Iteration  4, inertia 4850.668
Iteration  5, inertia 4796.902
Iteration  6, inertia 4759.836
Iteration  7, inertia 4741.039
Iteration  8, inertia 4731.861
Iteration  9, inertia 4728.039
Iteration 10, inertia 4725.901
Iteration 11, inertia 4725.271
Iteration 12, inertia 4725.134
Converged at iteration 12
Pre-Reduction   1.09s    4647   0.741   0.749   0.745   0.673   0.738    0.181
----------------------------------------
Initialization complete
Iteration  0, inertia 307.892
Iteration  1, inertia 246.690
Iteration  2, inertia 236.758
Iteration  3, inertia 230.265
Iteration  4, inertia 226.844
Iteration  5, inertia 225.220
Iteration  6, inertia 224.527
Iteration  7, inertia 223.826
Iteration  8, inertia 223.187
Iteration  9, inertia 222.652
Iteration 10, inertia 222.447
Iteration 11, inertia 222.279
Iteration 12, inertia 222.169
Iteration 13, inertia 222.033
Iteration 14, inertia 221.933
Iteration 15, inertia 221.871
Iteration 16, inertia 221.836
Iteration 17, inertia 221.833
Converged at iteration 17
Initialization complete
Iteration  0, inertia 298.856
Iteration  1, inertia 235.270
Iteration  2, inertia 228.623
Iteration  3, inertia 226.768
Iteration  4, inertia 225.892
Iteration  5, inertia 225.292
Iteration  6, inertia 224.794
Iteration  7, inertia 224.320
Iteration  8, inertia 223.869
Iteration  9, inertia 223.453
Iteration 10, inertia 223.130
Iteration 11, inertia 222.822
